Spec01	Spec02	Spec03	Spec04	Spec05	Spec06	Spec07	Spec08	Spec09	Spec10	Spec11	Spec12	Spec13	Spec14	Spec15	Spec16	Spec17	Spec18	Spec19	Spec20	Spec21	Spec22	Spec23	Spec24	Spec25	Spec26	Spec27	Spec28	Spec29	Spec30	Spec31	Spec32	Spec33	Spec34	Spec35
12	28	2	12	13	0	0	1	0	0	11	1	2	27	34	59	0	3	5	1	4	1	0	0	1	0	0	5	0	3	0	0	0	0	0	0
13	3	2	4	12	0	0	2	0	0	1	1	2	11	57	63	0	10	2	1	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
14	41	5	12	0	2	0	2	0	0	24	20	3	19	61	20	0	17	0	5	7	2	2	1	2	0	8	8	1	2	5	0	0	0	0	0
15	6	0	6	0	0	0	1	0	0	0	5	1	21	7	7	29	8	0	1	0	0	1	0	2	0	1	0	1	1	1	1	0	0	0	0
16	7	2	3	2	0	0	3	0	0	1	0	6	19	8	30	1	3	5	0	2	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
17	9	0	1	2	0	0	2	0	0	2	1	3	24	9	31	0	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
18	19	3	7	0	0	0	2	0	0	10	4	0	9	32	16	3	1	0	1	1	2	0	0	0	0	2	2	0	1	3	0	0	0	0	0
19	12	2	10	1	0	0	4	1	0	16	5	2	5	14	18	7	3	0	2	2	0	0	0	0	0	2	1	0	1	0	8	0	2	0	0
20	3	1	7	1	0	0	17	0	0	13	7	7	25	51	12	0	14	0	7	4	2	0	0	3	0	4	3	0	1	2	0	0	0	0	0
21	5	2	8	2	0	0	3	0	0	24	0	1	11	20	31	0	1	1	0	2	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0
22	4	0	4	0	0	0	1	0	0	25	2	1	18	69	38	0	0	1	1	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
23	19	0	8	0	0	1	4	0	0	0	3	1	5	3	20	8	0	2	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	2	0
24	4	0	1	4	0	0	4	1	0	4	0	0	22	13	19	0	3	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
25	12	4	15	2	0	1	0	1	0	1	2	1	38	5	32	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0
26	6	0	4	1	0	0	1	0	0	0	2	1	24	27	35	8	1	1	3	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0
27	4	4	4	3	0	0	2	0	1	17	0	9	20	66	18	0	3	1	3	2	0	0	1	0	1	0	7	0	4	1	1	0	1	0	0
28	9	0	4	0	0	0	1	0	3	0	0	1	21	9	30	1	2	3	0	0	0	0	1	0	4	0	0	0	1	0	11	2	6	2	0
29	42	0	6	0	0	0	1	0	0	0	0	0	21	12	24	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
30	20	1	2	0	0	0	7	1	0	0	0	1	6	6	10	18	1	2	2	1	0	0	1	0	1	1	1	0	1	0	12	0	0	1	0
31	12	0	5	0	0	0	0	0	1	1	0	0	9	11	20	50	1	0	0	0	0	0	1	0	1	0	0	0	0	0	12	2	3	1	0
32	4	0	9	0	0	0	5	0	0	5	9	2	2	17	18	4	0	2	0	0	0	0	0	0	0	0	2	0	1	0	7	2	0	4	0
33	38	0	17	0	0	0	2	0	0	1	0	0	8	15	10	12	0	2	2	0	1	0	0	0	1	0	0	0	1	0	23	0	1	2	0
34	5	0	14	0	0	0	1	0	1	11	4	2	22	39	56	4	2	0	0	5	0	0	2	0	1	0	2	1	0	0	11	1	1	9	0
35	3	0	0	0	0	1	1	2	0	26	0	0	2	29	21	3	0	2	1	0	0	0	0	0	1	0	1	0	4	0	4	3	1	6	0
36	3	1	2	0	0	1	3	0	0	20	0	0	3	12	23	29	1	4	2	0	0	0	0	0	1	0	3	0	0	0	20	4	0	1	0
37	3	0	5	0	0	0	2	0	0	36	0	0	0	22	24	12	0	1	0	0	0	0	0	0	2	0	1	0	2	1	21	3	2	2	0
38	8	0	6	0	0	0	15	0	4	0	0	0	0	9	2	110	0	1	8	0	0	1	4	0	2	0	0	0	0	0	18	0	0	1	0
39	0	0	0	0	0	0	0	0	0	0	0	1	5	8	12	40	0	0	1	0	0	0	3	0	0	0	0	0	3	0	18	0	2	1	0
40	1	0	31	0	0	0	0	0	0	3	0	1	0	6	10	65	0	0	1	0	0	0	0	0	2	0	0	0	0	0	26	0	6	5	0
41	2	0	10	0	0	0	0	0	0	0	0	0	0	5	2	44	0	0	1	0	0	0	0	0	1	0	0	0	1	0	13	0	1	1	0
42	0	0	12	0	0	0	0	0	0	0	0	1	0	5	7	73	0	1	0	0	0	0	0	0	6	0	0	0	1	0	31	0	3	0	0
43	5	0	2	0	0	0	16	0	0	0	0	0	0	7	4	89	0	5	0	0	0	0	14	0	1	0	0	0	0	0	3	0	0	1	1
44	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0
45	11	0	8	0	0	0	0	0	1	1	0	4	1	6	6	52	0	1	0	0	0	0	2	0	6	0	0	0	1	0	52	2	1	3	0
46	4	0	4	0	0	0	2	0	1	12	0	2	0	22	28	42	0	4	0	0	0	0	0	0	3	0	1	0	2	0	19	3	0	5	0
47	0	0	8	0	0	1	0	0	0	18	0	1	0	20	24	7	0	1	0	0	0	0	0	0	1	0	0	0	1	0	34	2	1	2	0
48	0	0	3	0	0	0	0	0	0	1	0	0	0	10	1	53	0	0	0	0	0	3	4	0	1	0	0	0	0	0	29	1	6	0	1
49	10	0	14	0	0	0	2	0	0	1	0	7	0	7	17	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	25	5	7	4	0
50	4	0	37	0	0	0	0	0	2	0	0	1	0	8	11	57	0	3	0	0	0	0	0	0	0	0	0	0	2	0	14	0	9	0	0
51	2	0	5	0	0	0	0	0	3	0	0	2	0	3	8	31	0	4	0	0	0	0	0	0	1	0	0	0	0	0	26	1	3	1	1
52	3	0	4	0	0	0	0	0	2	0	0	0	0	5	3	46	0	1	0	0	0	0	4	0	3	0	0	0	0	0	31	9	1	0	0
53	3	0	17	0	0	0	0	0	2	0	0	1	0	5	10	44	0	2	0	0	0	0	2	0	6	0	0	0	0	0	25	9	9	1	9
54	2	0	7	0	0	0	0	0	0	0	0	1	0	0	1	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1
55	1	0	3	0	0	0	0	0	0	0	0	5	0	3	5	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	6	0
56	1	0	16	0	0	0	0	0	3	0	0	2	0	0	5	54	0	1	0	0	0	0	3	0	0	0	0	0	0	0	17	0	1	0	5
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0
58	0	0	12	0	0	0	0	1	0	2	0	0	0	12	9	20	0	1	0	0	0	0	0	0	1	0	0	0	0	0	57	0	2	4	0
59	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	54	0	0	0	0	0	0	29	0	0	0	0	0	0	0	2	0	0	0	1
60	1	0	16	0	0	0	0	0	7	0	0	0	0	4	9	55	0	2	1	0	0	2	0	0	0	0	0	0	0	0	28	0	0	1	1
61	6	0	9	0	0	0	0	0	0	0	0	0	0	1	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	5
62	3	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
63	19	0	3	0	0	0	0	0	2	0	0	2	0	8	13	14	2	2	2	0	0	0	1	0	2	0	0	0	0	0	5	0	1	2	8
64	3	0	16	0	0	0	0	0	3	0	0	3	0	4	4	20	0	1	0	0	0	0	4	0	1	0	0	0	0	0	16	0	2	0	11
65	4	0	10	0	0	0	0	0	4	0	0	2	0	12	8	16	0	0	0	0	0	0	23	1	1	0	0	0	0	0	4	0	2	0	25
66	8	0	18	0	0	0	0	0	4	0	0	6	0	12	25	4	1	1	0	0	0	0	3	0	3	0	0	0	0	0	21	0	1	0	9
67	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	7	0	0	0	0	0	0	0	11	0	0	0	33
68	6	0	22	0	0	0	0	0	3	0	0	4	0	7	9	32	0	3	1	0	0	0	1	0	3	0	0	0	0	0	0	0	3	0	17
69	20	2	4	0	0	0	0	0	0	0	0	3	3	73	14	11	0	4	3	0	0	2	22	0	7	0	0	0	0	0	6	3	0	4	3
70	5	0	11	0	0	0	0	0	5	0	0	0	0	13	12	23	0	2	1	0	0	0	7	0	3	0	0	0	0	0	16	1	7	1	14
